user_id,product_name,x1_views,x2_chars_pdf,x3_ship_page,x4_calc_used,x4_ship_cost,x5_assembly_page,x6_warranty,x7_return_page,x8_email_clicks,x9_chat_text,x10_reviews,Barrier_Class
1000,"Шкаф-купе ""Лофт""",5,7,0,0,0.0,0,0,0,2,высота глубина,1,2
1001,"Шкаф-купе ""Лофт""",1,1,0,0,0.0,1,0,0,1,установка инструкция сборка,0,3
1002,Стеллаж деревянный,3,1,0,0,0.0,1,0,0,2,инструмент нет инструкции,0,3
1003,Тумба прикроватная,11,6,0,0,0.0,0,0,0,2,не помещается высота ширина,2,2
1004,Тумба прикроватная,4,2,0,1,1717.38,0,0,0,5,дорого не по карману здравствуйте цена,0,1
1005,"Шкаф-купе ""Лофт""",7,2,0,1,1013.14,0,0,0,3,скидка акция,1,1
1006,Стеллаж деревянный,3,0,0,1,3307.3,0,0,0,4,не по карману пожалуйста стоимость рассрочка,1,1
1007,"Шкаф-купе ""Лофт""",3,2,0,0,0.0,1,0,0,2,как закрепить мастер,0,3
1008,Стол обеденный,1,2,0,0,0.0,1,0,0,1,мастер интересует сборка установка,0,3
1009,Тумба прикроватная,10,5,0,0,0.0,0,0,0,2,подскажите размеры подскажите влезет ли интересует,3,2
1010,Кресло офисное,1,4,0,0,0.0,1,0,0,1,шурупы детали установка,1,3
1011,"Диван ""Комфорт""",7,0,0,1,1314.65,0,0,0,3,вопрос интересует нет скидок стоимость,0,1
1012,Комод с зеркалом,3,3,0,1,1609.84,0,0,0,4,вопрос пожалуйста дорого слишком высокая цена цена,1,1
1013,"Диван ""Комфорт""",4,1,0,1,1728.69,0,0,0,4,цена пожалуйста слишком высокая цена стоимость вопрос,1,1
1014,"Диван ""Комфорт""",3,3,0,0,0.0,0,1,0,2,пожалуйста гарантия подделка качество,6,4
1015,"Шкаф-купе ""Лофт""",1,0,0,0,0.0,0,1,0,2,гарантия подделка подскажите нужно уточнить,7,4
1016,Стеллаж деревянный,6,4,0,0,0.0,0,0,0,0,комната маленькая интересует высота пожалуйста,1,2
1017,Стол обеденный,1,3,0,0,0.0,0,1,0,2,подскажите вопрос страшно покупать качество,5,4
1018,"Диван ""Комфорт""",5,7,0,0,0.0,0,0,0,1,размер габариты здравствуйте,1,2
1019,Комод с зеркалом,7,3,0,0,0.0,0,0,0,2,вопрос ширина комната маленькая нужно уточнить,0,2
1020,Стол обеденный,3,0,0,1,1769.86,0,0,0,5,цена интересует подешевле,1,1
1021,"Диван ""Комфорт""",3,2,0,0,0.0,0,1,0,1,здравствуйте пожалуйста качество сломается,4,4
1022,Кровать двуспальная,8,5,0,0,0.0,0,0,0,0,влезет ли глубина ширина,0,2
1023,"Шкаф-купе ""Лофт""",6,0,0,1,1351.47,0,0,0,4,дорого слишком высокая цена,2,1
1024,Комод с зеркалом,2,1,0,0,0.0,0,1,1,2,хочу вернуть возврат,1,5
1025,Стеллаж деревянный,3,0,0,1,3422.11,0,0,0,1,подешевле вопрос не по карману скидка нужно уточнить,0,1
1026,"Диван ""Комфорт""",1,1,0,0,0.0,0,0,1,2,как вернуть денег не вернули вопрос подскажите возврат,2,5
1027,Стол обеденный,4,0,0,1,1888.66,0,0,0,4,здравствуйте цена акция дорого интересует,0,1
1028,Тумба прикроватная,1,3,0,0,0.0,0,0,1,0,срок возврата вернуть товар пожалуйста хочу вернуть,1,5
1029,"Шкаф-купе ""Лофт""",4,0,0,1,878.72,0,0,0,4,акция подскажите слишком высокая цена пожалуйста,0,1
1030,Кровать двуспальная,11,5,0,0,0.0,0,0,0,0,размер пожалуйста вопрос глубина комната маленькая,1,2
1031,Кровать двуспальная,4,1,0,1,1046.71,0,0,0,2,скидка акция рассрочка,3,1
1032,Кресло офисное,2,1,0,0,0.0,0,0,1,1,срок возврата хочу вернуть,1,5
1033,Кровать двуспальная,1,0,0,0,0.0,0,1,1,1,процедура интересует вопрос денег не вернули,0,5
1034,Кровать двуспальная,5,3,0,0,0.0,0,0,0,1,не помещается комната маленькая,0,2
1035,Кресло офисное,1,4,0,0,0.0,1,0,0,2,шурупы сборка здравствуйте подскажите мастер,2,3
